Id,Name,Nationality,CountryCode,City,Role,BattingStyle,BowlingStyle,WicketKeeper,Teams,URL
6617,Akhtar.,Pakistan,PK,Multan,All Rounder,Right Handed,Leg break (right-arm),False,Zawari Cricket Academy; ZCC,https://crickslab.com/match-central/player-details/6617/akhtar/7ff8896c-54a1-11ea-9c60-02d950faea96/overview
76338,Waqas,Pakistan,PK,Multan,All Rounder,Right Handed,Right-arm medium fast,False,Hill Park Cc; Multan Youngster,https://crickslab.com/match-central/player-details/76338/waqas/1b14b7b8-2be8-11ec-83fb-020b0df72d16/overview
6605,Sikandar,Pakistan,PK,Multan,Batter,Right Handed,Right-arm medium,False,Hill Park Cc,https://crickslab.com/match-central/player-details/6605/sikandar/84829901-549f-11ea-9c60-02d950faea96/overview
100458,Rehmanullah,Pakistan,PK,Multan,Batting All Rounder,Right Handed,Off break (right-arm),False,Khaira Cricket Club; Zawari Cricket Club,https://crickslab.com/match-central/player-details/100458/rehmanullah/27cb56fe-9142-11ec-a44c-020b0df72d16/overview
77899,kamran,,,,All Rounder,Right Handed,Off break (right-arm),False,Khaira Cricket Club; Zawari Unmarried,https://crickslab.com/match-central/player-details/77899/umair/7f53ef51-3219-11ec-83fb-020b0df72d16/overview
67193,Ubaid,Pakistan,PK,Multan,Batter,Right Handed,Leg break (right-arm),False,Team Warriors; Zawari United,https://crickslab.com/match-central/player-details/67193/ubaid/07812e05-0644-11ec-8ec4-020b0df72d16/overview
17304,Jabbar,Pakistan,PK,Multan,Batter,Right Handed,Left-arm medium fast,True,Malik Club; City Traffic Police Multan,https://crickslab.com/match-central/player-details/17304/jabbar/8643843e-1da6-11eb-91f8-024b438dd2a6/overview
64026,Joji,Kuwait,KW,Kuwait City,Batter,Right Handed,Right-arm medium,False,GAT; Cochin Hurricanes,https://crickslab.com/match-central/player-details/64026/joji-raju/40c5f45b-0510-11ec-8ec4-020b0df72d16/overview
72452,Junaid,,,,All Rounder,Right Handed,Right-arm medium,False,Zawari Kings; Khaira Cricket Club,https://crickslab.com/match-central/player-details/72452/junaid/66d2e48d-1a7e-11ec-8ec4-020b0df72d16/overview
65651,Adnan,Kuwait,KW,Kuwait City,All Rounder,Right Handed,Leg break (right-arm),False,Stack CC; Ecovert FM,https://crickslab.com/match-central/player-details/65651/adnan-idrees/41f7c6e1-0510-11ec-8ec4-020b0df72d16/overview
